Open,High,Low,Close,Adj Close,Volume
190.3300018310547,191.55999755859375,189.22999572753906,191.24000549316406,191.24000549316406,45679300
189.97999572753906,190.0500030517578,187.4499969482422,189.42999267578125,189.42999267578125,43389500
190.2100067138672,194.39999389648438,190.17999267578125,193.4199981689453,193.4199981689453,66628400
194.4499969482422,194.75999450683594,192.11000061035156,192.32000732421875,192.32000732421875,41089700
193.6300048828125,195.0,193.58999633789062,194.27000427246094,194.27000427246094,47477700
194.1999969482422,195.99000549316406,193.6699981689453,195.7100067138672,195.7100067138672,53377300
193.11000061035156,193.49000549316406,191.4199981689453,193.17999267578125,193.17999267578125,60943700
193.0800018310547,194.72000122070312,191.72000122070312,194.7100067138672,194.7100067138672,52696900
195.08999633789062,198.0,194.85000610351562,197.9600067138672,197.9600067138672,70404200
198.02000427246094,199.6199951171875,196.16000366210938,198.11000061035156,198.11000061035156,66831600
197.52999877929688,198.39999389648438,197.0,197.57000732421875,197.57000732421875,128256700
196.08999633789062,196.6300048828125,194.38999938964844,195.88999938964844,195.88999938964844,55751900
196.16000366210938,196.9499969482422,195.88999938964844,196.94000244140625,196.94000244140625,40714100
196.89999389648438,197.67999267578125,194.8300018310547,194.8300018310547,194.8300018310547,52242800
196.10000610351562,197.0800018310547,193.5,194.67999267578125,194.67999267578125,46482500
195.17999267578125,195.41000366210938,192.97000122070312,193.60000610351562,193.60000610351562,37122800
193.61000061035156,193.88999938964844,192.8300018310547,193.0500030517578,193.0500030517578,28919300
192.49000549316406,193.5,191.08999633789062,193.14999389648438,193.14999389648438,48087700
194.13999938964844,194.66000366210938,193.1699981689453,193.5800018310547,193.5800018310547,34049900
193.89999389648438,194.39999389648438,191.72999572753906,192.52999877929688,192.52999877929688,42628800
